Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2026-03-14,18:19,CNR6873670,Success,CUST1833,Auto,Frazer Town,MG Road,2.27,9.35,0,,0,,0,,276,1.13,3.3,4.3
2026-03-26,20:31,CNR3203285,Incomplete,CUST5325,Prime Plus,Brigade Road,RR Nagar,,,0,,0,,1,Other Issue,,,,
2026-03-12,16:00,CNR4580852,Success,CUST4007,Prime Plus,Koramangala,Rajajinagar,10.41,10.97,0,,0,,0,,456,6.65,4.9,3.6
2026-03-24,10:36,CNR5776904,Success,CUST4937,Prime Plus,Kanakapura Road,Bannerghatta Road,4.8,20.9,0,,0,,0,,752,10.69,3.7,4.2
2026-03-14,21:07,CNR6801102,Success,CUST8610,Prime SUV,Banashankari,KR Puram,9.57,23.8,0,,0,,0,,984,5.89,4.1,3.3
2026-03-27,12:13,CNR7911468,Success,CUST5167,Prime SUV,Banaswadi,Bannerghatta Road,6.3,14.21,0,,0,,0,,1662,10.33,3.4,3.5
2026-03-17,18:30,CNR3043235,Cancelled by Driver,CUST6341,Auto,Ramamurthy Nagar,Sarjapur,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-23,15:47,CNR8047785,Incomplete,CUST5148,Bike,Marathahalli,Airport Road,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-25,14:23,CNR8445387,Incomplete,CUST6694,Prime Plus,Brookefield,Shivajinagar,,,0,,0,,1,Other Issue,,,,
2026-03-01,20:18,CNR8947698,Success,CUST9889,Auto,Dasarahalli,Sarjapur,8.85,6.61,0,,0,,0,,483,8.32,3.1,4.9
2026-03-29,23:18,CNR8719965,Success,CUST2375,Prime SUV,BTM Layout,Jayanagar,7.72,22.11,0,,0,,0,,145,5.31,4.1,4.9
2026-03-07,22:29,CNR4769670,Success,CUST6453,Prime Sedan,Sahakar Nagar,Ramamurthy Nagar,5.16,8.95,0,,0,,0,,1128,1.28,3.9,4.5
2026-03-02,15:55,CNR2356630,Success,CUST4901,eBike,Basavanagudi,Horamavu,11.04,10.8,0,,0,,0,,488,24.79,3.8,3.2
2026-03-29,20:19,CNR8150219,Success,CUST4661,Mini,Whitefield,Domlur,12.52,8.87,0,,0,,0,,289,23.43,4.5,3.7
2026-03-29,10:10,CNR5294882,Cancelled by Customer,CUST3014,Prime Plus,ITPL,Frazer Town,,,1,Change of plans,0,,0,,,,,
2026-03-02,11:21,CNR6768966,Success,CUST3480,Prime Sedan,Brookefield,CV Raman Nagar,11.88,18.01,0,,0,,0,,323,16.29,4.4,4.2
2026-03-08,03:09,CNR2702709,Incomplete,CUST3913,Prime Sedan,Hennur,Yelahanka,,,0,,0,,1,Customer Demand,,,,
2026-03-07,21:06,CNR7355240,Success,CUST8160,Mini,KR Puram,MG Road,9.26,8.28,0,,0,,0,,238,15.67,4.7,3.7
2026-03-21,09:06,CNR3723887,Success,CUST4520,Prime Sedan,Indiranagar,Koramangala,6.42,22.43,0,,0,,0,,639,12.73,3.4,3.5
2026-03-28,16:27,CNR4108860,Success,CUST9150,Mini,Kadugodi,Banashankari,10.71,14.05,0,,0,,0,,535,8.12,4.8,4.2
2026-03-30,21:58,CNR2161453,Incomplete,CUST9016,Mini,Basavanagudi,Indiranagar,,,0,,0,,1,Other Issue,,,,
2026-03-02,17:03,CNR2197360,Success,CUST6489,eBike,Vijayanagar,Brigade Road,10.26,13.48,0,,0,,0,,147,9.31,4.4,4.8
2026-03-29,20:06,CNR9977604,Incomplete,CUST4166,Auto,Brigade Road,Sahakar Nagar,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-19,12:59,CNR6851381,Success,CUST7301,eBike,Richmond Town,Brigade Road,4.74,23.41,0,,0,,0,,113,14.29,3.7,4.2
2026-03-23,04:12,CNR1243944,Cancelled by Driver,CUST6933,Prime Sedan,Devanahalli,Nagawara,,,0,,1,More than permitted people in there,0,,,,,
2026-03-09,18:51,CNR9334763,Cancelled by Customer,CUST7502,Prime Sedan,Mahadevapura,Shivajinagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2026-03-15,00:12,CNR4880286,Success,CUST4130,Bike,Devanahalli,Hebbal,12.86,9.56,0,,0,,0,,181,6.22,3.4,3.8
2026-03-14,23:02,CNR9806555,Success,CUST1940,Prime SUV,Ramamurthy Nagar,Silk Board,11.11,8.17,0,,0,,0,,294,3.72,4.7,4.5
2026-03-01,20:03,CNR9312990,Success,CUST1460,eBike,JP Nagar,Whitefield,10.56,20.01,0,,0,,0,,1009,19.59,4.9,3.5
2026-03-27,16:07,CNR6964144,Success,CUST7250,Bike,Banaswadi,Jayanagar,11.28,17,0,,0,,0,,490,12.15,3.2,3.2
2026-03-22,12:29,CNR5039874,Cancelled by Driver,CUST3936,Mini,Jayanagar,Horamavu,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-01,09:18,CNR6829992,Success,CUST9741,Prime Plus,Kadugodi,Vijayanagar,10.5,12.65,0,,0,,0,,651,4.44,4.8,3.4
2026-03-09,13:50,CNR5412808,Success,CUST3800,Prime SUV,Banashankari,Silk Board,9.53,8.62,0,,0,,0,,653,1.5,3.5,3.8
2026-03-25,10:19,CNR7094144,Success,CUST3011,eBike,Kadugodi,Bommanahalli,10.22,9.46,0,,0,,0,,242,17.46,3.8,4.5
2026-03-03,11:09,CNR8023082,Incomplete,CUST9077,Prime Plus,Silk Board,Electronic City,,,0,,0,,1,Vehicle Breakdown,,,,
